-1,-1.07E-08
-0.99,-9.10E-09
-0.98,-8.27E-09
-0.97,-7.64E-09
-0.96,-7.12E-09
-0.95,-6.66E-09
-0.94,-6.25E-09
-0.93,-5.90E-09
-0.92,-5.55E-09
-0.91,-5.24E-09
-0.9,-4.94E-09
-0.89,-4.67E-09
-0.88,-4.41E-09
-0.87,-4.16E-09
-0.86,-3.92E-09
-0.85,-3.70E-09
-0.84,-3.50E-09
-0.83,-3.30E-09
-0.82,-3.12E-09
-0.81,-2.94E-09
-0.8,-2.77E-09
-0.79,-2.61E-09
-0.78,-2.46E-09
-0.77,-2.32E-09
-0.76,-2.18E-09
-0.75,-2.05E-09
-0.74,-1.93E-09
-0.73,-1.82E-09
-0.72,-1.70E-09
-0.71,-1.60E-09
-0.7,-1.50E-09
-0.69,-1.40E-09
-0.68,-1.31E-09
-0.67,-1.23E-09
-0.66,-1.15E-09
-0.65,-1.07E-09
-0.64,-1.02E-09
-0.63,-9.85E-10
-0.62,-9.65E-10
-0.61,-9.17E-10
-0.6,-8.65E-10
-0.59,-8.15E-10
-0.58,-7.65E-10
-0.57,-7.20E-10
-0.56,-6.75E-10
-0.55,-6.31E-10
-0.54,-5.93E-10
-0.53,-5.53E-10
-0.52,-5.15E-10
-0.51,-4.81E-10
-0.5,-4.48E-10
-0.49,-4.16E-10
-0.48,-3.87E-10
-0.47,-3.60E-10
-0.46,-3.34E-10
-0.45,-3.10E-10
-0.44,-2.87E-10
-0.43,-2.64E-10
-0.42,-2.43E-10
-0.41,-2.24E-10
-0.4,-2.06E-10
-0.39,-1.88E-10
-0.38,-1.72E-10
-0.37,-1.57E-10
-0.36,-1.43E-10
-0.35,-1.28E-10
-0.34,-1.15E-10
-0.33,-1.04E-10
-0.32,-9.40E-11
-0.31,-8.39E-11
-0.3,-7.32E-11
-0.29,-6.46E-11
-0.28,-5.54E-11
-0.27,-4.71E-11
-0.26,-3.91E-11
-0.25,-3.20E-11
-0.24,-2.47E-11
-0.23,-1.80E-11
-0.22,-1.20E-11
-0.21,-6.34E-12
-0.2,-6.06E-13
-0.19,4.06E-12
-0.18,8.42E-12
-0.17,1.35E-11
-0.16,1.76E-11
-0.15,2.18E-11
-0.14,2.58E-11
-0.13,2.96E-11
-0.12,3.25E-11
-0.11,3.62E-11
-0.1,3.91E-11
-0.09,4.23E-11
-0.08,4.52E-11
-0.07,4.79E-11
-0.06,5.07E-11
-0.05,5.35E-11
-0.04,5.61E-11
-0.03,5.92E-11
-0.02,6.15E-11
-0.01,6.38E-11
0,6.62E-11
0.01,6.89E-11
0.02,7.13E-11
0.03,7.39E-11
0.04,7.62E-11
0.05,7.86E-11
0.06,8.12E-11
0.07,8.49E-11
0.08,8.78E-11
0.09,9.07E-11
0.1,9.41E-11
0.11,9.81E-11
0.12,1.02E-10
0.13,1.06E-10
0.14,1.09E-10
0.15,1.13E-10
0.16,1.18E-10
0.17,1.22E-10
0.18,1.27E-10
0.19,1.32E-10
0.2,1.37E-10
0.21,1.43E-10
0.22,1.49E-10
0.23,1.56E-10
0.24,1.62E-10
0.25,1.70E-10
0.26,1.77E-10
0.27,1.85E-10
0.28,1.94E-10
0.29,2.04E-10
0.3,2.13E-10
0.31,2.24E-10
0.32,2.35E-10
0.33,2.47E-10
0.34,2.60E-10
0.35,2.73E-10
0.36,2.88E-10
0.37,3.03E-10
0.38,3.19E-10
0.39,3.37E-10
0.4,3.55E-10
0.41,3.76E-10
0.42,3.96E-10
0.43,4.18E-10
0.44,4.42E-10
0.45,4.67E-10
0.46,4.93E-10
0.47,5.22E-10
0.48,5.51E-10
0.49,5.83E-10
0.5,6.16E-10
0.51,6.53E-10
0.52,6.89E-10
0.53,7.29E-10
0.54,7.72E-10
0.55,8.15E-10
0.56,8.62E-10
0.57,9.11E-10
0.58,9.63E-10
0.59,1.03E-09
0.6,1.14E-09
0.61,1.23E-09
0.62,1.31E-09
0.63,1.39E-09
0.64,1.48E-09
0.65,1.56E-09
0.66,1.66E-09
0.67,1.75E-09
0.68,1.85E-09
0.69,1.95E-09
0.7,2.06E-09
0.71,2.17E-09
0.72,2.29E-09
0.73,2.31E-09
0.74,2.40E-09
0.75,2.51E-09
0.76,2.63E-09
0.77,2.76E-09
0.78,2.90E-09
0.79,3.05E-09
0.8,3.20E-09
0.81,3.36E-09
0.82,3.53E-09
0.83,3.71E-09
0.84,3.89E-09
0.85,4.08E-09
0.86,4.28E-09
0.87,4.50E-09
0.88,4.71E-09
0.89,4.93E-09
0.9,5.18E-09
0.91,5.43E-09
0.92,5.69E-09
0.93,5.96E-09
0.94,6.24E-09
0.95,6.54E-09
0.96,6.85E-09
0.97,7.17E-09
0.98,7.50E-09
0.99,7.85E-09
1,8.20E-09
1,8.20E-09
0.99,7.73E-09
0.98,7.31E-09
0.97,6.93E-09
0.96,6.56E-09
0.95,6.22E-09
0.94,5.90E-09
0.93,5.59E-09
0.92,5.29E-09
0.91,5.01E-09
0.9,4.74E-09
0.89,4.49E-09
0.88,4.25E-09
0.87,4.02E-09
0.86,3.80E-09
0.85,3.59E-09
0.84,3.39E-09
0.83,3.21E-09
0.82,3.02E-09
0.81,2.85E-09
0.8,2.69E-09
0.79,2.53E-09
0.78,2.39E-09
0.77,2.24E-09
0.76,2.11E-09
0.75,1.99E-09
0.74,1.86E-09
0.73,1.75E-09
0.72,1.64E-09
0.71,1.53E-09
0.7,1.43E-09
0.69,1.34E-09
0.68,1.25E-09
0.67,1.17E-09
0.66,1.09E-09
0.65,1.02E-09
0.64,1.00E-09
0.63,9.90E-10
0.62,9.46E-10
0.61,8.96E-10
0.6,8.45E-10
0.59,7.94E-10
0.58,7.46E-10
0.57,7.00E-10
0.56,6.56E-10
0.55,6.14E-10
0.54,5.72E-10
0.53,5.35E-10
0.52,4.99E-10
0.51,4.65E-10
0.5,4.33E-10
0.49,4.02E-10
0.48,3.74E-10
0.47,3.46E-10
0.46,3.21E-10
0.45,2.96E-10
0.44,2.73E-10
0.43,2.52E-10
0.42,2.31E-10
0.41,2.13E-10
0.4,1.94E-10
0.39,1.77E-10
0.38,1.61E-10
0.37,1.46E-10
0.36,1.32E-10
0.35,1.19E-10
0.34,1.06E-10
0.33,9.60E-11
0.32,8.48E-11
0.31,7.46E-11
0.3,6.43E-11
0.29,5.56E-11
0.28,4.64E-11
0.27,3.84E-11
0.26,3.08E-11
0.25,2.33E-11
0.24,1.68E-11
0.23,1.05E-11
0.22,4.19E-12
0.21,-2.04E-12
0.2,-7.75E-12
0.19,-1.22E-11
0.18,-1.68E-11
0.17,-2.16E-11
0.16,-2.60E-11
0.15,-3.03E-11
0.14,-3.38E-11
0.13,-3.74E-11
0.12,-4.04E-11
0.11,-4.39E-11
0.1,-4.77E-11
0.09,-5.07E-11
0.08,-5.38E-11
0.07,-5.68E-11
0.06,-5.87E-11
0.05,-6.18E-11
0.04,-6.43E-11
0.03,-6.70E-11
0.02,-6.99E-11
0.01,-7.22E-11
0,-7.46E-11
-0.01,-7.68E-11
-0.02,-7.91E-11
-0.03,-8.12E-11
-0.04,-8.36E-11
-0.05,-8.62E-11
-0.06,-8.96E-11
-0.07,-9.36E-11
-0.08,-9.67E-11
-0.09,-1.00E-10
-0.1,-1.03E-10
-0.11,-1.07E-10
-0.12,-1.10E-10
-0.13,-1.14E-10
-0.14,-1.17E-10
-0.15,-1.21E-10
-0.16,-1.25E-10
-0.17,-1.29E-10
-0.18,-1.33E-10
-0.19,-1.39E-10
-0.2,-1.44E-10
-0.21,-1.49E-10
-0.22,-1.54E-10
-0.23,-1.60E-10
-0.24,-1.67E-10
-0.25,-1.74E-10
-0.26,-1.80E-10
-0.27,-1.88E-10
-0.28,-1.95E-10
-0.29,-2.04E-10
-0.3,-2.13E-10
-0.31,-2.23E-10
-0.32,-2.33E-10
-0.33,-2.44E-10
-0.34,-2.55E-10
-0.35,-2.68E-10
-0.36,-2.79E-10
-0.37,-2.93E-10
-0.38,-3.08E-10
-0.39,-3.24E-10
-0.4,-3.41E-10
-0.41,-3.58E-10
-0.42,-3.75E-10
-0.43,-3.96E-10
-0.44,-4.17E-10
-0.45,-4.39E-10
-0.46,-4.62E-10
-0.47,-4.88E-10
-0.48,-5.13E-10
-0.49,-5.43E-10
-0.5,-5.71E-10
-0.51,-6.03E-10
-0.52,-6.36E-10
-0.53,-6.72E-10
-0.54,-7.10E-10
-0.55,-7.51E-10
-0.56,-7.92E-10
-0.57,-8.36E-10
-0.58,-8.81E-10
-0.59,-9.30E-10
-0.6,-9.86E-10
-0.61,-1.09E-09
-0.62,-1.17E-09
-0.63,-1.25E-09
-0.64,-1.33E-09
-0.65,-1.41E-09
-0.66,-1.49E-09
-0.67,-1.57E-09
-0.68,-1.66E-09
-0.69,-1.75E-09
-0.7,-1.84E-09
-0.71,-1.94E-09
-0.72,-2.04E-09
-0.73,-2.15E-09
-0.74,-2.26E-09
-0.75,-2.33E-09
-0.76,-2.41E-09
-0.77,-2.51E-09
-0.78,-2.63E-09
-0.79,-2.76E-09
-0.8,-2.91E-09
-0.81,-3.06E-09
-0.82,-3.20E-09
-0.83,-3.38E-09
-0.84,-3.54E-09
-0.85,-3.73E-09
-0.86,-3.91E-09
-0.87,-4.11E-09
-0.88,-4.33E-09
-0.89,-4.53E-09
-0.9,-4.77E-09
-0.91,-5.02E-09
-0.92,-5.27E-09
-0.93,-5.53E-09
-0.94,-5.81E-09
-0.95,-6.10E-09
-0.96,-6.41E-09
-0.97,-6.72E-09
-0.98,-7.06E-09
-0.99,-7.42E-09
-1,-7.77E-09
,
